2019-12-06 09:56:03.5086 Info Loading Cardigann definition /app/Jackett/Definitions/piratbitl.yml 
2019-12-06 09:56:03.5354 Info Loading Cardigann definition /app/Jackett/Definitions/riperam.yml 
2019-12-06 09:56:03.5768 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd-net.yml 
2019-12-06 09:56:03.5800 Info Loading Cardigann definition /app/Jackett/Definitions/nntt.yml 
2019-12-06 09:56:03.6061 Info Loading Cardigann definition /app/Jackett/Definitions/asgaard.yml 
2019-12-06 09:56:03.6095 Info Loading Cardigann definition /app/Jackett/Definitions/torrenting.yml 
2019-12-06 09:56:03.6115 Info Loading Cardigann definition /app/Jackett/Definitions/kapaki.yml 
2019-12-06 09:56:03.6163 Info Loading Cardigann definition /app/Jackett/Definitions/rus-media.yml 
2019-12-06 09:56:03.6290 Info Loading Cardigann definition /app/Jackett/Definitions/bigtower.yml 
2019-12-06 09:56:03.6314 Info Loading Cardigann definition /app/Jackett/Definitions/turktorrent.yml 
2019-12-06 09:56:03.6314 Info Loading Cardigann definition /app/Jackett/Definitions/DasUnerwartete.yml 
2019-12-06 09:56:03.6362 Info Loading Cardigann definition /app/Jackett/Definitions/tokyotosho.yml 
2019-12-06 09:56:03.6362 Info Loading Cardigann definition /app/Jackett/Definitions/ast4u.yml 
2019-12-06 09:56:03.6393 Info Loading Cardigann definition /app/Jackett/Definitions/speedtorrentreloaded.yml 
2019-12-06 09:56:03.6414 Info Loading Cardigann definition /app/Jackett/Definitions/femdomcult.yml 
2019-12-06 09:56:03.6414 Info Loading Cardigann definition /app/Jackett/Definitions/gay-torrents.yml 
2019-12-06 09:56:03.6464 Info Loading Cardigann definition /app/Jackett/Definitions/elitetorrent-biz.yml 
2019-12-06 09:56:03.6464 Info Loading Cardigann definition /app/Jackett/Definitions/bitspyder.yml 
2019-12-06 09:56:03.6497 Info Loading Cardigann definition /app/Jackett/Definitions/torrentwal.yml 
2019-12-06 09:56:03.6527 Info Loading Cardigann definition /app/Jackett/Definitions/tellytorrent.yml 
2019-12-06 09:56:03.6547 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupforum.yml 
2019-12-06 09:56:03.6547 Info Loading Cardigann definition /app/Jackett/Definitions/exttorrents.yml 
2019-12-06 09:56:03.6547 Info Loading Cardigann definition /app/Jackett/Definitions/piratbit.yml 
2019-12-06 09:56:03.6881 Info Loading Cardigann definition /app/Jackett/Definitions/mactorrents.yml 
2019-12-06 09:56:03.6881 Info Loading Cardigann definition /app/Jackett/Definitions/x-ite.me.yml 
2019-12-06 09:56:03.6923 Info Loading Cardigann definition /app/Jackett/Definitions/casstudiotv.yml 
